Date,Price,Open,High,Low,Vol.,Change %
2021-07-05,1791.61,"1,787.69","1,795.69","1,784.09",,0.27%
2021-07-06,1796.69,"1,791.88","1,815.34","1,789.91",,0.28%
2021-07-07,1803.41,"1,796.96","1,810.13","1,793.64",,0.37%
2021-07-08,1802.56,"1,803.67","1,818.70","1,794.28",,-0.05%
2021-07-09,1807.98,"1,802.89","1,812.71","1,796.09",,0.30%
2021-07-12,1805.88,"1,807.94","1,811.04","1,791.21",,-0.12%
2021-07-13,1807.44,"1,806.17","1,817.51","1,798.54",,0.09%
2021-07-14,1827.06,"1,807.72","1,830.32","1,804.21",,1.09%
2021-07-15,1829.19,"1,827.35","1,833.99","1,820.07",,0.12%
2021-07-16,1810.89,"1,829.45","1,832.20","1,808.65",,-1.00%
2021-07-19,1812.34,"1,811.65","1,817.56","1,794.66",,0.08%
2021-07-20,1810.03,"1,812.61","1,825.27","1,805.06",,-0.13%
2021-07-21,1803.31,"1,810.32","1,814.02","1,794.18",,-0.37%
2021-07-22,1806.69,"1,803.58","1,808.34","1,792.11",,0.19%
2021-07-23,1801.34,"1,806.95","1,810.56","1,790.45",,-0.30%
2021-07-26,1797.27,"1,802.65","1,811.97","1,795.68",,-0.23%
2021-07-27,1798.73,"1,797.53","1,805.60","1,792.83",,0.08%
2021-07-28,1806.88,"1,799.00","1,809.90","1,792.60",,0.45%
2021-07-29,1827.95,"1,807.15","1,833.05","1,806.29",,1.17%
2021-07-30,1813.58,"1,828.21","1,831.63","1,809.48",,-0.79%
2021-08-02,1813.39,"1,814.34","1,819.94","1,805.12",,-0.01%
2021-08-03,1809.94,"1,813.64","1,815.18","1,806.73",,-0.19%
2021-08-04,1811.41,"1,810.60","1,832.10","1,806.54",,0.08%
2021-08-05,1804.01,"1,811.69","1,815.45","1,797.74",,-0.41%
2021-08-06,1762.69,"1,804.28","1,804.93","1,758.33",,-2.29%
2021-08-09,1729.46,"1,763.34","1,764.65","1,684.77",,-1.89%
2021-08-10,1728.71,"1,729.74","1,738.49","1,717.17",,-0.04%
2021-08-11,1751.56,"1,729.01","1,754.63","1,723.54",,1.32%
2021-08-12,1752.44,"1,751.66","1,758.62","1,741.29",,0.05%
2021-08-13,1779.15,"1,752.72","1,780.53","1,751.27",,1.52%
2021-08-16,1787.24,"1,778.44","1,789.51","1,770.38",,0.45%
2021-08-17,1785.96,"1,787.51","1,795.77","1,780.28",,-0.07%
2021-08-18,1787.59,"1,786.21","1,794.31","1,777.31",,0.09%
2021-08-19,1780.18,"1,788.05","1,792.56","1,774.20",,-0.41%
2021-08-20,1780.87,"1,780.44","1,788.85","1,777.96",,0.04%
2021-08-23,1805.2,"1,780.55","1,806.92","1,776.03",,1.37%
2021-08-24,1802.61,"1,805.61","1,810.03","1,799.73",,-0.14%
2021-08-25,1790.68,"1,802.86","1,803.57","1,782.45",,-0.66%
2021-08-26,1792.16,"1,791.09","1,798.61","1,779.48",,0.08%
2021-08-27,1816.67,"1,792.60","1,819.38","1,787.66",,1.37%
2021-08-30,1810.17,"1,817.55","1,823.38","1,807.28",,-0.36%
2021-08-31,1813.43,"1,810.26","1,819.43","1,801.47",,0.18%
2021-09-01,1813.66,"1,813.57","1,820.21","1,808.18",,0.01%
2021-09-02,1809.4,"1,813.92","1,817.53","1,804.48",,-0.23%
2021-09-03,1826.19,"1,809.98","1,834.55","1,808.53",,0.93%
2021-09-06,1823.1,"1,828.66","1,830.60","1,820.58",,-0.17%
2021-09-07,1794.13,"1,823.27","1,827.39","1,792.33",,-1.59%
2021-09-08,1788.93,"1,794.41","1,802.60","1,781.98",,-0.29%
2021-09-09,1794.69,"1,789.19","1,801.19","1,783.83",,0.32%
2021-09-10,1787.34,"1,794.61","1,804.15","1,786.53",,-0.41%
2021-09-13,1793.49,"1,788.55","1,798.66","1,783.73",,0.34%
2021-09-14,1804.27,"1,793.77","1,808.99","1,781.89",,0.60%
2021-09-15,1792.59,"1,804.53","1,807.30","1,790.28",,-0.65%
2021-09-16,1753.39,"1,794.34","1,796.71","1,745.04",,-2.19%
2021-09-17,1754.16,"1,753.67","1,768.22","1,747.07",,0.04%
2021-09-20,1763.88,"1,754.30","1,767.31","1,742.24",,0.55%
2021-09-21,1774.25,"1,764.19","1,782.07","1,757.61",,0.59%
2021-09-22,1767.91,"1,774.51","1,787.51","1,764.84",,-0.36%
2021-09-23,1742.57,"1,768.40","1,776.60","1,737.84",,-1.43%
2021-09-24,1749.86,"1,742.82","1,758.08","1,739.60",,0.42%
2021-09-27,1749.85,"1,751.24","1,761.29","1,744.19",,0.00%
2021-09-28,1733.68,"1,750.45","1,754.80","1,727.18",,-0.92%
2021-09-29,1726.11,"1,733.97","1,746.11","1,721.07",,-0.44%
2021-09-30,1756.66,"1,726.40","1,764.53","1,721.67",,1.77%
2021-10-01,1760.36,"1,756.91","1,764.40","1,749.36",,0.21%
2021-10-04,1769.51,"1,762.15","1,771.06","1,747.23",,0.52%
2021-10-05,1759.96,"1,769.75","1,771.03","1,748.56",,-0.54%
2021-10-06,1762.48,"1,760.45","1,765.78","1,745.45",,0.14%
2021-10-07,1755.29,"1,762.74","1,767.45","1,751.38",,-0.41%
2021-10-08,1756.67,"1,755.89","1,781.60","1,753.03",,0.08%
2021-10-11,1753.86,"1,757.34","1,761.36","1,749.68",,-0.16%
2021-10-12,1759.93,"1,754.12","1,769.78","1,750.47",,0.35%
2021-10-13,1792.65,"1,760.05","1,796.31","1,757.89",,1.86%
2021-10-14,1795.56,"1,792.75","1,800.91","1,786.22",,0.16%
2021-10-15,1767.26,"1,795.81","1,796.89","1,764.48",,-1.58%
2021-10-18,1764.6,"1,767.74","1,772.30","1,759.68",,-0.15%
2021-10-19,1768.87,"1,764.99","1,785.53","1,762.48",,0.24%
2021-10-20,1781.83,"1,769.28","1,788.68","1,766.50",,0.73%
2021-10-21,1782.76,"1,782.10","1,789.61","1,776.07",,0.05%
2021-10-22,1792.48,"1,782.89","1,814.22","1,782.46",,0.55%
2021-10-25,1807.47,"1,794.00","1,810.18","1,791.95",,0.84%
2021-10-26,1792.63,"1,807.90","1,808.50","1,781.98",,-0.82%
2021-10-27,1796.69,"1,793.04","1,799.38","1,782.83",,0.23%
2021-10-28,1798.62,"1,796.78","1,810.49","1,792.34",,0.11%
2021-10-29,1782.81,"1,799.03","1,801.49","1,771.70",,-0.88%
2021-11-01,1793.05,"1,783.24","1,796.20","1,778.89",,0.57%
2021-11-02,1787.28,"1,793.61","1,796.91","1,785.78",,-0.32%
2021-11-03,1769.52,"1,787.71","1,788.42","1,758.45",,-0.99%
2021-11-04,1791.7,"1,769.98","1,799.26","1,769.13",,1.25%
2021-11-05,1816.73,"1,792.14","1,818.61","1,785.17",,1.40%
2021-11-08,1824.26,"1,818.44","1,826.93","1,812.08",,0.41%
2021-11-09,1831.48,"1,824.74","1,833.08","1,817.70",,0.40%
2021-11-10,1849.57,"1,831.90","1,868.70","1,821.60",,0.99%
2021-11-11,1861.52,"1,849.69","1,866.35","1,842.66",,0.65%
2021-11-12,1864.04,"1,861.99","1,868.69","1,844.78",,0.14%
2021-11-15,1862.46,"1,868.15","1,870.57","1,855.73",,-0.09%
2021-11-16,1849.91,"1,862.94","1,877.40","1,849.16",,-0.67%
2021-11-17,1866.96,"1,850.34","1,868.32","1,849.38",,0.92%
2021-11-18,1858.46,"1,866.97","1,871.29","1,854.94",,-0.46%
2021-11-19,1844.6,"1,858.90","1,865.76","1,842.98",,-0.75%
2021-11-22,1805.04,"1,846.74","1,849.49","1,801.95",,-2.14%
2021-11-23,1789.73,"1,805.65","1,812.50","1,781.63",,-0.85%
2021-11-24,1788.5,"1,790.34","1,797.01","1,778.44",,-0.07%
2021-11-25,1788.45,"1,789.49","1,795.65","1,785.85",,0.00%
2021-11-26,1791.81,"1,788.70","1,815.78","1,780.79",,0.19%
2021-11-29,1785.01,"1,790.05","1,799.80","1,781.23",,-0.38%
2021-11-30,1773.78,"1,785.34","1,809.38","1,769.43",,-0.63%
2021-12-01,1782.66,"1,774.15","1,794.80","1,771.96",,0.50%
2021-12-02,1768.64,"1,783.05","1,783.58","1,761.68",,-0.79%
2021-12-03,1783.74,"1,768.84","1,786.44","1,765.63",,0.85%
2021-12-06,1778.11,"1,784.79","1,787.87","1,775.91",,-0.32%
2021-12-07,1784.04,"1,778.08","1,788.02","1,771.93",,0.33%
2021-12-08,1782.06,"1,784.40","1,793.60","1,779.45",,-0.11%
2021-12-09,1774.46,"1,782.49","1,788.05","1,772.80",,-0.43%
2021-12-10,1782.51,"1,774.94","1,789.47","1,769.43",,0.45%
2021-12-13,1786.94,"1,782.94","1,791.78","1,781.51",,0.25%
2021-12-14,1770.18,"1,787.19","1,789.74","1,766.31",,-0.94%
2021-12-15,1777.06,"1,770.49","1,781.04","1,753.84",,0.39%
2021-12-16,1799.03,"1,777.40","1,799.53","1,775.43",,1.24%
2021-12-17,1797.68,"1,799.55","1,814.63","1,795.67",,-0.07%
2021-12-20,1789.32,"1,799.40","1,804.32","1,787.98",,-0.47%
2021-12-21,1788.36,"1,789.74","1,800.85","1,784.58",,-0.05%
2021-12-22,1803.4,"1,788.94","1,805.13","1,785.41",,0.84%
